Code géographique,Médiane du niveau vie (€),Taux d'activité des 15-64 ans,Taux d'emploi des 15-64 ans,Taux de chômage des 15-64 ans,Part des ouvriers dans les emplois,Coups et blessures volontaires,Vols avec armes,Cambriolages de logement,Vols de véhicules,Destructions et dégradations volontaires,Trafic de stupéfiants,Orientation
01001,25820,82.14676711836665,76.79505397267712,5.351713145689415,13.591030277551791,0.0,0.0,0.0,0.0,0.0,0.0,C
01002,24480,79.59063019925853,78.14283327121198,1.4477969280465353,20.69548607763005,0.0,0.0,0.0,0.0,0.0,0.0,C
01004,21660,76.58936463567323,66.2770481384173,10.312316497255866,24.024256617421056,6.307326058597671,0.0,6.637090079621011,3.054397890887072,0.0,0.8294008217826928,D
01005,24610,81.24452234881683,76.1612620508326,5.083260297984224,11.82735192861588,0.0,0.0,13.028201041282784,0.0,0.0,0.0,D
01006,24210,70.83333333333336,63.8888888888889,6.9444444444444375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
01007,24860,80.19992065989142,74.10907266946886,6.090847990422451,26.468178791653344,0.0,0.0,13.772014040822244,5.085813940512309,0.0,0.0,D
01008,26300,81.56121127833987,76.35376090056063,5.207450377779081,21.068469277767992,0.0,0.0,0.0,0.0,0.0,0.0,D
01009,24810,77.56079737633037,69.36212538832578,8.198671988004142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
01010,24700,80.19533411262084,72.40484002364536,7.790494088975471,35.35503444825321,0.0,0.0,0.0,0.0,0.0,0.0,D
01011,24530,80.30483915800366,72.76866715140027,7.536172006603404,19.4280736581087,0.0,0.0,0.0,0.0,0.0,0.0,D
01012,24270,83.91287753866521,74.15118522452362,9.76169231414146,41.225611365272414,0.0,0.0,0.0,0.0,0.0,0.0,G
01013,22180,79.54545454545455,71.59090909090908,7.954545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
01014,22410,72.85383353474401,62.69518343666554,10.15865009807892,32.97824434497996,0.0,0.0,7.566368798293478,0.0,0.0,0.0,G
01015,23800,78.03654507818966,68.1118633328172,9.924681745372512,9.481694315392849,0.0,0.0,0.0,0.0,0.0,0.0,C
01016,23080,84.10852713178295,77.90697674418605,6.2015503875969,20.827246002518507,0.0,0.0,0.0,0.0,0.0,0.0,D
01017,20790,71.97232033890451,64.21487718772265,7.757443151182012,17.002589566050514,0.0,0.0,0.0,0.0,0.0,0.0,D
01019,s,86.66666666666667,60.0,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
01021,26430,75.243448804877,70.37872967302351,4.864719131853463,16.91149015358059,0.0,0.0,0.0,0.0,0.0,0.0,D
01022,22000,77.32174154159406,68.6409126907591,8.68082885083487,14.37728501601858,0.0,0.0,0.0,0.0,0.0,0.0,D
01023,s,75.51020408163265,65.3061224489796,10.20408163265306,6.0860202327015,0.0,0.0,0.0,0.0,0.0,0.0,D
01024,24460,80.8340960326142,75.31746301167479,5.516633020939655,44.45764287917929,0.0,0.0,8.46824730152764,0.0,0.0,0.0,D
01025,24880,80.07678995640134,74.36087253589682,5.715917420504532,31.087892398541644,0.2460024600246002,0.0,6.53268436571788,0.2050020500205002,0.0,0.0,D
01026,22860,83.48535930366742,76.21690890712702,7.268450396540504,14.364974333559156,0.0,0.0,0.0,0.0,0.0,0.0,C
01027,25770,89.09789389668272,84.53605266178039,4.561841234902302,19.48101890263535,0.0,0.0,10.306523163532598,0.0,0.0,0.0,D
01028,25520,81.49171270718232,78.1767955801105,3.314917127071823,7.869104757646207,0.0,0.0,0.0,0.0,0.0,0.0,D
01029,21350,68.23346868031787,61.45257700673083,6.780891673587033,16.70605186397787,0.0,0.0,0.0,0.0,0.0,0.0,D
01030,24240,79.98115732200712,73.47584538558885,6.505311936418342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
01031,20550,72.31843609407717,61.470349660780045,10.848086433296816,38.34635144394141,3.893770104228413,0.0,5.437850422258535,0.7806092844894374,0.0,0.0,D
01032,23060,78.84826915533723,72.09288935284025,6.755379802497384,16.00228342749051,2.186600857956156,0.0,18.43210770931375,0.5981797821680109,0.0,0.0,D
01033,23780,77.2529763989531,65.44804239845578,11.804934000497324,26.530347531662464,4.094715640256374,0.0,5.571040765765883,1.7297033179304968,0.0,0.6697644189634824,G
01034,21180,73.84619375319757,65.00725758997898,8.83893616321864,27.133720662446,3.9869199507609,0.0,3.194337145856389,2.034075384442221,0.0,0.0,C
01035,26160,80.10204081632654,76.53061224489795,3.571428571428572,20.0,0.0,0.0,0.0,0.0,0.0,0.0,G
01036,23820,76.68720007990386,71.66298411786896,5.02421596203495,17.478373769748497,0.0,0.0,0.0,0.0,0.0,0.0,C
01037,21770,78.5635775378157,71.82157348219525,6.742004055620205,21.560030702051584,0.0,0.0,0.0,0.0,0.0,0.0,D
01038,24250,80.89044894004607,77.0328683562785,3.85758058376745,6.271945472329675,0.0,0.0,0.0,0.0,0.0,0.0,C
01040,23440,82.3529411764706,77.77777777777777,4.57516339869281,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,D
01041,25150,80.49668013765803,73.22397235189348,7.272707785764574,20.105863290761143,0.0,0.0,0.0,0.0,0.0,0.0,D
01042,25520,82.17652103377921,78.21689805748073,3.959622976298311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
01043,28730,78.47421400359957,73.20227665444916,5.271937349150515,25.14033288978333,2.7478469178460223,0.0,14.275932645392436,2.341362244794519,0.0,0.0,C
