Code géographique,Coups et blessures volontaires,Vols avec armes,Cambriolages de logement,Vols de véhicules,Destructions et dégradations volontaires,Trafic de stupéfiants
01117,0.0,0.0,0.0,0.0,0.0,0.0
01118,0.0,0.0,0.0,0.0,0.0,0.0
01121,0.0,0.0,0.0,0.0,0.0,0.0
01123,0.0,0.0,0.0,0.0,0.0,0.0
01124,0.0,0.0,0.0,0.0,0.0,0.0
01125,0.0,0.0,0.0,0.0,0.0,0.0
01127,0.0,0.0,0.0,0.0,0.0,0.0
01128,0.0,0.0,0.0,0.0,0.0,0.0
01129,0.0,0.0,0.0,0.0,0.0,0.0
01130,0.0,0.0,0.0,0.0,0.0,0.0
01133,0.0,0.0,0.0,0.0,0.0,0.0
01134,0.0,0.0,3.4189459945515,0.0,0.0,0.0
01135,0.5827505827505828,0.0,16.25259640927043,0.0,0.0,0.0
01136,0.0,0.0,0.0,0.0,0.0,0.0
01138,3.7810699148793794,0.0,5.024425783445683,2.419270149549341,0.0,0.0
01139,0.0,0.0,0.0,0.0,0.0,0.0
01140,0.0,0.0,0.0,0.0,0.0,0.0
01141,0.0,0.0,0.0,0.0,0.0,0.0
01142,3.1538739933328084,0.0,9.420927664863253,1.822226112767865,0.0,0.0
01143,2.1565456852809355,0.0,12.255133836889408,1.3293094593545227,0.0,0.0
01145,0.0,0.0,5.182998186334074,0.0,0.0,0.0
01146,0.0,0.0,0.0,0.0,0.0,0.0
01147,0.0,0.0,0.0,0.0,0.0,0.0
01148,0.0,0.0,1.7807185611003924,0.0,0.0,0.0
01149,0.0,0.0,8.930640539927975,0.0,0.0,0.0
01150,0.0,0.0,0.0,0.0,0.0,0.0
01151,0.0,0.0,3.289473684210526,0.0,0.0,0.0
01152,0.0,0.0,0.0,0.0,0.0,0.0
01153,0.0,0.0,23.547437058707597,0.0,0.0,0.0
01155,0.0,0.0,0.0,0.0,0.0,0.0
01156,0.0,0.0,0.0,0.0,0.0,0.0
01157,0.0,0.0,3.8010542627412907,0.0,0.0,0.0
01158,0.0,0.0,6.075502025191846,0.0,0.0,0.0
01159,2.7786366273848597,0.0,1.255746634274644,1.097970122624713,0.0,0.0
01160,3.24685161345293,0.0,4.791966807978828,2.0095946341472346,0.0,0.0
01162,0.0,0.0,0.0,0.0,0.0,0.0
01163,0.0,0.0,0.0,0.0,0.0,0.0
