Code géographique,Taux d'activité des 15-64 ans,Taux d'emploi des 15-64 ans,Taux de chômage des 15-64 ans,Part des ouvriers dans les emplois
01001,82.14676711836665,76.79505397267712,5.3517131456894145,13.591030277551793
01002,79.59063019925853,78.14283327121198,1.4477969280465353,20.69548607763005
01004,76.58936463567323,66.2770481384173,10.312316497255866,24.024256617421056
01005,81.24452234881683,76.1612620508326,5.083260297984224,11.82735192861588
01006,70.83333333333336,63.8888888888889,6.9444444444444375,0.0
01007,80.19992065989142,74.10907266946886,6.090847990422451,26.468178791653344
01008,81.56121127833987,76.35376090056063,5.207450377779081,21.068469277767992
01009,77.56079737633037,69.36212538832578,8.198671988004142,0.0
01010,80.19533411262084,72.40484002364536,7.790494088975471,35.35503444825321
01011,80.30483915800366,72.76866715140027,7.536172006603404,19.4280736581087
01012,83.91287753866521,74.15118522452362,9.76169231414146,41.225611365272414
01013,79.54545454545455,71.59090909090908,7.954545454545455,0.0
01014,72.85383353474401,62.69518343666554,10.15865009807892,32.97824434497996
01015,78.03654507818966,68.1118633328172,9.924681745372512,9.481694315392847
01016,84.10852713178295,77.90697674418605,6.2015503875969,20.827246002518507
01017,71.97232033890451,64.21487718772265,7.757443151182012,17.002589566050514
01019,86.66666666666667,60.0,26.666666666666668,0.0
01021,75.243448804877,70.37872967302351,4.864719131853463,16.91149015358059
01022,77.32174154159406,68.6409126907591,8.68082885083487,14.377285016018579
01023,75.51020408163265,65.3061224489796,10.204081632653061,6.0860202327015
01024,80.8340960326142,75.31746301167479,5.516633020939655,44.45764287917929
01025,80.07678995640134,74.36087253589682,5.715917420504532,31.087892398541644
01026,83.48535930366742,76.21690890712702,7.268450396540504,14.364974333559156
01027,89.09789389668272,84.53605266178039,4.561841234902302,19.48101890263535
01028,81.49171270718232,78.1767955801105,3.314917127071823,7.869104757646207
01029,68.23346868031787,61.45257700673083,6.780891673587033,16.70605186397787
01030,79.98115732200712,73.47584538558885,6.505311936418342,0.0
01031,72.31843609407717,61.470349660780045,10.848086433296817,38.34635144394141
01032,78.84826915533723,72.09288935284025,6.755379802497384,16.00228342749051
01033,77.2529763989531,65.44804239845578,11.804934000497324,26.530347531662464
01034,73.84619375319757,65.00725758997898,8.83893616321864,27.133720662446002
01035,80.10204081632654,76.53061224489795,3.5714285714285716,20.0
01036,76.68720007990386,71.66298411786896,5.02421596203495,17.478373769748497
01037,78.5635775378157,71.82157348219525,6.742004055620205,21.560030702051584
01038,80.89044894004607,77.0328683562785,3.85758058376745,6.271945472329675
01040,82.3529411764706,77.77777777777777,4.57516339869281,33.333333333333336
01041,80.49668013765803,73.22397235189348,7.272707785764574,20.105863290761146
01042,82.17652103377921,78.21689805748073,3.9596229762983106,0.0
01043,78.47421400359957,73.20227665444916,5.271937349150515,25.14033288978333
01044,82.7023767199159,71.69404217015753,11.0083345497584,44.99048172619377
01045,80.47083581420964,75.29818951027143,5.172646303938388,19.14793472424917
01046,83.81407683904251,78.37149616533814,5.442580673704497,24.533611065784957
01047,84.85207100591715,78.69822485207101,6.153846153846154,31.083070714757575
01049,78.02776448061273,71.56534226902825,6.4624222115844905,25.169343860562666
01050,81.30434782608695,76.95652173913044,4.3478260869565215,9.600970142567574
01051,83.99999999999994,67.99999999999993,16.0,
01052,80.59594167120906,74.62870779484957,5.967233876359532,10.10234963609127
01053,68.5976358839721,56.882528390457445,11.715107493514727,17.96379365755828
01054,81.65239828064222,77.41935728595914,4.233040994683082,7.410231436659133
01056,81.0320628065266,73.34107572471044,7.690987081816111,42.620317247553686
01057,80.12618296529969,76.65615141955836,3.470031545741325,39.52020997233674
01058,79.21810699588477,72.42798353909465,6.790123456790123,37.01314366980822
01060,78.64908720411411,73.09132395743745,5.55776324667649,0.0
01061,77.65042979942693,71.20343839541547,6.446991404011461,16.064658210348494
01062,80.66768805439479,75.0676814067214,5.600006647673451,29.440139693556468
01063,79.17929570942924,72.67585629804505,6.503439411384158,58.580064206937294
01064,80.68493150684931,74.79452054794521,5.890410958904109,34.441909695639005
01065,81.24540427157275,76.66526645065787,4.580137820914893,30.867335928997132
01066,62.50000000000004,53.571428571428605,8.928571428571436,
01067,82.65195697090132,77.74562830788159,4.906328663019959,29.7066519749261
01068,81.3304721030043,72.3175965665236,9.012875536480687,29.41142805623457
01069,79.44911154554156,74.62819097131828,4.820920574223268,40.115565127923865
01071,82.16628710323741,74.94398210031268,7.222305002924555,16.796307963824127
01072,78.04026871063344,71.34719783010951,6.693070880523975,24.200537015698277
01073,78.13693243984852,71.25177357323801,6.885158866610358,15.571055500854634
01074,82.3344506053728,76.62057914061539,5.713871464756911,26.298258432329686
01075,82.9004329004329,77.4891774891775,5.411255411255412,33.35791375271588
01076,77.33333333333327,61.333333333333364,16.000000000000053,
01077,86.3157894736842,78.94736842105259,7.368421052631584,0.0
01078,81.30081300813008,76.01626016260163,5.284552845528455,8.104248927695421
01079,75.16233935019056,69.88345611571135,5.278883234479257,25.203064304934976
01080,83.2832627037276,75.80222592693785,7.481036776789938,12.414781976614451
01081,81.76861076207354,74.19837217868151,7.570238583392144,35.50961024744808
01082,82.49635710573517,73.6637365848931,8.83262052084222,10.879482418789998
01083,84.86386950362105,80.26232530246926,4.601544201151765,33.99175145429037
01084,82.20183486238533,77.43119266055047,4.770642201834862,7.33809659235247
01085,86.60457094363149,84.6072071092722,1.9973638343590694,24.64859827579324
01087,76.31184191784853,68.11993054788381,8.191911369964524,22.951855616171127
01088,83.42019257492302,77.25699977416123,6.163192800761858,33.57882843073488
