Code géographique,Médiane du niveau vie (€)
02150,s
02151,s
02152,s
02153,23530
02154,22240
02155,24300
02156,20700
02157,22440
02158,21760
02159,20810
02160,19710
02162,23470
02163,21500
02164,22620
02165,20900
02166,24770
02167,23340
02168,19150
02169,s
02170,24780
02171,24500
02172,24190
02173,18580
02174,22600
02175,21230
02176,20760
02177,23250
02178,22740
02179,23450
02180,22150
02181,s
02182,20280
02183,24510
02184,21220
02185,23140
02186,24080
02187,24590
02188,20520
02189,20150
02190,22790
02191,22990
02192,22180
02193,s
02194,19560
02195,24060
02196,25390
02197,23510
02198,23230
02199,21930
02200,s
02201,24510
02203,20580
02204,s
02205,22400
02206,s
02207,23680
02208,24070
02209,22080
02210,22960
02211,22530
02212,22270
02213,22390
02214,s
02215,22490
02216,24090
02217,22120
02218,22440
02219,20440
02220,22040
02221,24820
02222,s
02223,21900
02224,21440
02225,s
02226,22730
02227,22630
02228,21750
02229,s
02230,21890
02231,20170
02232,22930
02233,22370
02234,s
02235,20300
02236,20610
02237,20300
02238,20740
02239,20650
02240,21140
02241,s
02242,23730
02243,20820
02244,s
02245,21430
02246,21670
02248,18830
02249,23420
02250,s
02251,s
02252,s
02253,24260
02254,24460
02255,20660
02256,20490
02257,27180
02258,22140
02259,25610
02260,19930
02261,21950
02262,22500
02263,23820
02264,19340
02265,s
02266,s
02267,23120
02268,24440
02269,21180
02270,21140
02271,18840
02272,s
02273,22730
02274,20730
02275,16390
02276,22940
02277,21260
02278,s
02279,24860
02280,24460
02281,24210
02282,21000
02283,19790
02284,s
02286,21000
02287,24790
02288,21550
02289,24830
02290,23660
02291,21190
02292,21900
02293,21120
02294,25310
02295,19530
02296,23170
02297,23220
02298,19940
02299,22270
02302,24050
02303,32330
02304,16210
02305,19780
02306,20600
02307,22930
02308,19670
02309,21460
02310,23300
02311,22350
02312,21260
02313,21670
02315,21150
02316,26560
02317,26590
02318,20330
02319,20590
02320,26300
02321,22120
02322,24950
02323,23020
02324,21680
02326,23650
02327,18850
02328,24890
02329,24060
02330,26360
02331,20060
02332,22610
02333,20060
02334,19180
02335,22200
02336,23400
02337,21010
02338,21240
02339,23210
02340,20850
02341,22290
02342,22010
02343,s
02345,s
02346,21480
02347,25850
02349,s
02350,20470
02351,24670
02352,20460
02353,21860
02354,s
02355,24170
02356,20880
02357,s
02358,20440
02359,22150
02360,23040
02361,17320
02362,23070
02363,21020
02364,25500
02366,19940
02367,23430
02368,22430
02369,18870
02370,21310
02371,21470
02372,22960
02373,23070
02374,19980
02375,24030
02376,23470
02377,19340
02378,20120
02379,19680
02380,s
02381,16460
02382,23890
02383,25090
02384,s
02385,19820
02386,19670
02387,24980
02388,19850
02389,22640
02390,22430
02391,20940
02392,23280
02393,22980
02395,22350
02396,s
02397,21880
02398,22680
02399,23300
02400,20710
02401,22620
02402,s
02403,18960
02404,22660
02405,21980
02406,24000
02407,24570
02408,18000
02409,21020
02410,27080
02411,23690
02412,s
02413,25020
02414,20140
02415,25870
02416,19550
02417,21140
02418,21980
02419,24190
02420,25460
02421,s
02422,19450
02423,23010
02424,24490
02425,20640
02426,22780
02427,20630
02428,s
02429,24400
02430,20300
02431,21450
02432,22500
02433,20650
02435,s
02438,23520
02439,22130
02440,21380
02441,24490
02442,s
02443,26090
02444,20060
02445,21120
02446,23530
02447,20230
02448,20690
02449,s
02450,18980
02451,20670
02452,24660
02453,22110
02454,21430
02455,22820
02456,20770
02457,19640
02458,23090
02459,30430
02460,20840
02461,22600
02462,21480
02463,s
02464,22820
02465,22820
02466,23910
02467,s
02468,18670
02469,18610
02470,18720
02471,22900
02472,20880
02473,21250
02474,21470
02476,19330
02477,25170
02478,21910
02480,23300
02481,30400
02482,s
02483,24540
02484,21980
02485,30210
02486,s
02487,23870
02488,21240
02489,26560
02490,28320
02491,21230
02492,20550
02493,22380
02494,23550
02495,21680
02496,23670
02497,23910
02498,22150
02499,s
02500,20690
02501,s
02502,18140
02503,19460
02504,21160
02505,24210
02506,25720
02507,s
02508,23470
02509,20750
02510,25900
02511,21250
02512,23710
02513,21430
02514,23400
02515,s
02516,s
02517,20050
02518,22420
02519,16470
02520,22300
02521,24450
02522,s
02523,s
02524,24070
02525,24530
02526,s
02527,21910
02528,24150
02529,20830
02530,s
02531,21510
02532,22650
02533,23960
02534,s
02535,21060
02536,s
02537,20970
02538,s
02539,21750
02540,24290
02541,24860
02542,s
02543,20960
02544,19910
02545,20610
02546,23200
02547,s
02548,19990
02549,24570
02550,22090
02551,22250
02552,23580
02553,21680
02554,24400
02555,21670
02556,s
02557,20740
02558,19230
02559,19880
02560,23890
02561,26750
02562,21090
02563,19860
02564,24360
02565,22060
02566,23570
02567,18230
02568,25210
02569,20440
02570,21320
02571,25100
02572,25580
02573,s
02574,20100
02575,19410
02576,23670
02577,25940
02578,s
02579,21840
02580,21090
02581,25400
02582,s
02583,s
02584,25250
02585,23740
02586,23170
02587,22150
02588,s
02589,23270
02590,24220
02591,20730
02592,21550
02593,25110
02594,24270
02595,24950
02596,21830
02598,25440
02599,22010
02600,21230
02601,23010
02602,20050
02604,s
02605,21620
02606,s
02607,s
02608,18580
02609,s
02610,24070
02612,21710
02613,23300
02614,21430
02615,26860
02616,21880
02617,21970
02618,21040
02619,22840
02620,22970
02621,27390
02622,s
02623,s
02624,22140
02625,21870
02626,23630
02627,22570
02628,22960
02629,18680
02631,20770
02632,s
02633,s
02634,s
02635,22420
02636,24990
02637,25460
02638,21140
02639,23650
02640,19500
02641,16180
02642,20140
02643,24180
02644,24670
02645,22630
02647,s
02648,19520
02649,23190
02650,19580
02651,s
02652,s
02653,23670
02654,s
02655,21200
02656,25980
02657,19800
02658,24680
02659,27070
02660,s
02661,24950
02662,22330
02663,24220
02664,26980
02665,23820
02666,18140
02667,26620
02668,19290
02670,21560
02671,20880
02672,24700
02673,22750
02674,s
02675,21830
02676,21480
02677,20130
02678,s
02679,22540
02680,21840
02681,20880
02682,18840
02683,19530
02684,18600
02685,21950
02686,23140
02687,25610
02688,s
02689,s
02690,s
02691,18400
02693,21490
02694,21730
02696,s
02697,24390
02698,21530
02699,21070
02701,23000
02702,24690
02703,21160
02704,20090
02705,20440
02706,24140
02707,23120
02708,24670
02709,20470
02710,21470
02711,23460
02712,26680
02713,22340
02714,21140
02715,s
02716,26400
02717,22560
02718,23670
02719,21890
02720,19110
02721,24730
02722,18280
02723,22090
02724,s
02725,18210
02726,21820
02727,19400
02728,22130
02729,s
02730,19870
02731,21020
02732,s
02734,24440
02735,s
02736,21700
02737,19910
02738,18550
02739,24660
02740,21290
02741,18780
02742,s
02743,21170
02744,s
02745,21350
02746,22310
02747,s
02748,22890
02749,23190
02750,20460
02751,24180
02752,21340
02753,18950
02754,23990
02755,22030
02756,25260
02757,18780
02758,20750
02759,18530
02760,18650
02761,26000
02762,21590
02763,22990
02764,s
02765,26040
02766,20460
02767,25570
02768,22250
02769,19540
02770,24970
02772,23880
02773,s
02774,24120
02775,23570
02776,19340
02777,23730
02778,s
02779,18840
02780,20970
02781,24060
02782,21230
02783,19860
02784,22480
02785,22790
02786,22440
02787,23410
02788,22380
02789,18480
02790,21970
02791,23970
02792,22810
02793,21920
02794,27910
02795,21710
02796,s
02797,19790
02798,22860
02799,21250
02800,22760
02801,20750
02802,20210
02803,24920
02804,23690
02805,20500
02806,21030
02807,24870
02808,21140
02809,s
02810,20260
02812,24660
02813,21030
02814,21620
02815,23520
02816,21820
02817,s
02818,24860
02819,s
02820,23370
02821,23470
02822,25300
02823,s
02824,26020
02826,20680
02827,21300
02828,s
02829,s
02830,18450
02831,21450
02832,20090
02833,20240
02834,23840
03001,23170
03002,20970
03003,21110
03004,20160
03005,17900
03006,17360
03007,23600
03008,21400
03009,20630
03010,21230
03011,22810
03012,23520
03013,23560
03014,20600
03015,22900
03016,22600
03017,18140
03018,21870
03019,21660
03020,20990
03021,22240
03022,20260
03023,23070
03024,17660
03025,22250
03026,23440
03027,19450
03028,21310
03029,22090
03030,22480
03031,21760
03032,19890
03033,22380
03034,20550
03035,16350
03036,21880
03037,20350
03038,22290
03039,21990
03040,26380
03041,20040
03042,20380
03043,21530
03044,23830
03045,23160
03046,18870
03047,21540
03048,20180
03049,22870
03050,17170
03051,19360
03052,22930
03053,21560
03054,24130
03055,22330
03056,21990
03057,20630
03058,20380
03059,21460
03060,24160
03061,22170
03062,24980
03063,21820
03064,20050
03065,21250
03066,17980
03067,20840
03068,18420
03069,21510
03070,21820
03071,20160
03072,21570
03073,23070
03074,22210
03075,23310
03076,23880
03077,18270
03078,22310
03079,21750
03080,22770
03081,21280
03082,20330
03083,22670
03084,20910
03085,25030
03086,20820
03087,18920
03088,18370
03089,20270
03090,19430
03091,22140
03092,22080
03093,24310
03094,25400
03095,20770
03096,s
03097,23600
03098,22100
03099,20760
03100,21080
03101,22590
03102,21010
03103,18540
03104,21120
03105,20640
03106,22540
03107,22690
03108,20290
03109,21420
03110,24210
03111,23010
03112,21210
03113,20330
03114,23540
03115,23340
03116,21920
03117,19780
03118,20770
03119,20720
03120,21670
03121,23840
03122,22070
03124,22840
03125,14110
03126,22750
03127,21930
03128,22370
03129,20730
03130,21340
03131,20450
03132,20390
03133,21720
03134,22420
03135,18680
03136,20210
03137,22900
03138,20090
03139,18090
03140,23460
03141,19490
03142,18770
03143,s
03144,20770
03145,24080
03146,21110
03147,18880
03148,21710
03149,23390
03150,20420
03151,21050
03152,20790
03154,19280
03155,20010
03156,22870
03157,22400
03158,20780
03159,21660
03160,22920
03161,21440
03162,23890
03163,22640
03164,21340
03165,19350
03166,23360
03167,21590
03168,21490
03169,21650
03170,24080
03171,21340
03172,19870
03173,20790
03174,23100
03175,21000
03176,21810
03177,18640
03178,18200
03179,20670
03180,21720
03181,20090
03182,23340
03183,20430
03184,24980
03185,19420
03186,19010
03187,21840
03188,22050
03189,20680
03190,19880
03191,19300
03192,20080
03193,21980
03194,22190
03195,23450
03196,18380
03197,23230
03198,21380
03200,25570
03201,18970
03202,19430
03203,20240
03204,22250
03205,20560
03206,17890
03207,21530
03208,18120
03209,23850
03210,21920
03211,24280
03212,23880
03213,22020
03214,20740
03215,22700
03216,19540
03217,24690
03218,23110
03219,22480
03220,21880
03221,20830
03222,s
03223,22230
03224,18430
03225,19270
03226,18300
03227,21710
03228,s
03229,21990
03230,23060
03231,21260
03232,22730
03233,24070
03234,20990
03235,20990
03236,20490
03237,22420
03238,20960
03239,20580
03240,19800
03241,18540
03242,21770
03243,24150
03244,22040
03245,22140
03246,21890
03247,21130
03248,18720
03249,19530
03250,19890
03251,21410
03252,23790
03253,21440
03254,20970
03255,22020
03256,20580
03257,21930
03258,24140
03259,20060
03260,17210
03261,23890
03262,24700
03263,21750
03264,21180
03265,19380
03266,20870
03267,23210
03268,23130
03269,s
03270,19440
03271,25480
03272,18460
03273,22670
03274,19770
03275,21640
03276,20580
03277,21250
03278,24340
03279,21220
03280,18610
03281,19680
03282,18960
03283,21870
03284,21660
03285,23890
03286,24180
03287,20800
03288,19560
03289,21340
03290,25010
03291,21150
03292,21370
03293,20720
03294,23600
03295,s
03296,19680
03297,20790
03298,20200
03299,18280
03300,19590
03301,22840
03302,s
03303,21240
03304,25300
03305,23170
03306,25620
03307,23940
03308,18530
03309,18440
03310,20190
03311,23180
03312,19120
03313,19680
03314,24770
03315,20340
03316,22210
03317,18970
03319,21690
03320,19610
03321,23540
04001,24270
04004,20340
04005,s
04006,20390
04007,s
04008,20850
04009,s
04012,s
04013,22860
04016,s
04017,s
04018,19910
04019,21030
04020,s
04021,21420
04022,18260
04023,19430
04024,22100
04025,20620
04026,20310
04027,25170
04028,17870
04030,s
04031,21210
04032,21410
04033,19920
04034,20920
04035,22300
04036,24340
04037,s
04039,21120
04040,s
04041,21410
04042,20510
04043,s
04045,20500
04046,24180
04047,24420
04049,21080
04050,s
04051,s
04053,23770
04054,s
04055,20290
04057,18900
04058,19770
04059,19470
04061,20610
04062,21340
04063,24550
04065,20490
04066,23750
04067,s
04068,24570
04069,22910
04070,21480
04072,s
04073,22140
04074,20030
04075,25900
04076,20970
04077,21150
04079,23510
04081,20650
04084,23060
04085,s
04086,21400
04087,21610
04088,20570
04090,18110
04091,s
04092,s
04093,s
04094,22240
04095,s
04096,21510
04097,21710
04099,19760
04101,16780
04102,18050
04104,18550
04106,23840
04107,s
04108,21250
04109,23980
04110,23800
04111,21340
04112,21170
04113,24140
04115,18740
04116,21460
04118,19170
04120,s
04121,22540
04122,24700
04123,22860
04124,20900
04126,21240
04127,21530
04128,24830
04129,s
04130,20150
04132,21960
04133,19020
04134,20990
04135,20670
04136,23340
04137,s
04138,22130
04139,22230
04140,23990
04141,21230
04142,s
04143,23050
04144,18290
04145,21980
04148,19750
04149,22080
04150,18730
04151,23110
04152,27990
04154,s
04155,19160
04156,22910
04157,21770
04158,18920
04159,s
04160,21480
04161,20160
04162,20230
04163,20790
04164,s
04166,20130
04167,23480
04169,s
04170,s
04171,s
04172,20550
04173,23120
04174,24060
04175,s
04176,23000
04177,s
04178,20660
04179,18700
04180,s
04181,s
04182,21920
04183,20650
04184,18850
04186,s
04187,s
04188,22120
04189,21530
04190,21630
04191,s
04192,22620
04193,21560
04194,19380
04195,23310
04197,22180
04199,21690
04200,23880
04201,21070
04202,20210
04203,19390
04204,21210
04205,20830
04206,20830
04207,20890
04208,21840
04209,20900
04210,18170
04211,19960
04214,18600
04216,19870
04217,21110
04218,20970
04219,18190
04220,21370
04222,20960
04224,s
04226,23250
04227,19380
04228,s
04229,20950
04230,21900
04231,20580
04233,18090
04234,21270
04235,s
04236,s
04237,18840
04240,20320
04241,22410
04242,22910
04244,22980
04245,23570
05001,19460
05003,23060
05004,23090
05006,20810
05007,19610
05008,19360
05009,s
05010,19880
05011,21700
05012,21630
05013,21650
05014,18300
05016,20580
05017,22770
05018,26630
05019,21430
05021,20980
05022,19960
05023,21630
05024,18530
05025,21940
05026,22100
05027,20180
05028,19690
05029,21360
05031,21620
05032,19900
05033,s
05035,s
05036,22240
05037,27840
05038,20270
05039,20740
05040,22770
05044,21440
05045,21370
05046,21750
05047,s
05048,19590
05049,s
05050,19420
05051,s
05052,22550
05053,21380
05054,20290
05055,21370
05056,20900
05057,27550
05058,21880
05059,24840
05060,23480
05061,22280
05062,22540
05063,19800
05064,21110
05065,21330
05066,s
05068,22280
05070,21080
05071,23960
05072,22420
05073,23300
05074,22440
05075,22750
05076,s
05077,21810
05078,20740
05079,21670
05080,s
05081,s
05082,18670
05084,23700
05085,20100
05086,s
05087,22120
05089,s
05090,20580
05091,s
05092,25840
05093,19770
05094,s
05095,21920
05096,21150
05097,21390
05098,22120
05099,s
05100,25100
05101,21550
05102,s
05103,22380
05104,22880
05106,24560
05107,25140
05108,24120
05109,24730
05110,21310
05111,22730
05112,s
05113,24420
05114,21460
05115,19330
05116,22450
05117,18750
05118,22300
05119,23190
05121,22960
05122,21660
05123,23050
05124,22470
05126,18800
05127,21400
05128,22410
05129,19680
05130,23750
05131,s
05132,22600
05133,23280
05134,20980
05135,s
05136,22560
05139,21670
05140,23300
05142,21640
05144,19670
05145,21030
05146,21080
05147,24050
05148,22860
05149,21810
05151,22960
05152,18580
05153,21280
05154,21750
05155,s
05156,22410
05157,19230
05158,23640
05159,s
05160,s
05161,21500
05162,22060
05163,20820
05164,22720
05165,21180
05166,20340
05167,s
05168,22950
05169,s
05170,22310
05171,18420
05172,21410
05173,21970
05174,22550
05176,20440
05177,21370
05178,22160
05179,20310
05180,22830
05181,20110
05182,s
05183,23020
05184,20500
06001,s
06002,s
06003,20000
06004,24410
06005,16880
06006,29450
06007,26870
06008,s
06009,s
06010,25690
06011,23880
06012,22510
06013,21380
06014,24120
06015,25220
06016,21720
06017,21280
06018,30320
06019,26160
06020,21550
06021,24020
06022,22720
06023,21800
06024,19840
06025,25230
06026,26480
06027,23940
06028,19050
06029,21210
06030,22250
06031,26590
06032,26680
06033,23480
06034,26050
06035,25640
06036,26240
06037,22570
06038,29230
06039,25730
06040,s
06041,21830
06042,21960
06043,23670
06044,29030
06045,s
06046,28750
06047,s
06048,24870
06049,19450
06050,21460
06051,s
06052,18460
06053,16980
06054,21790
06055,20110
06056,s
06057,22400
06058,20520
06059,29970
06060,32330
06061,s
06062,19210
06063,s
06064,27110
06065,29390
06066,24760
06067,26260
06068,23530
06069,23380
06070,20840
06071,20310
06072,s
06073,21710
06074,21410
06075,25260
06076,s
06077,22070
06078,22380
06079,24180
06080,s
06081,s
06082,23030
06083,22590
06084,27840
06085,27390
06086,20200
06087,s
06088,21570
06089,32040
06090,25540
06091,23860
06092,25440
06093,20130
06094,21230
06095,25440
06096,s
06097,23010
06098,21620
06099,21230
06100,20720
06101,21190
06102,s
06103,21340
06104,25330
06105,34070
06106,20390
06107,s
06108,27510
06109,23460
06110,17360
06111,s
06112,30650
06113,26740
06114,22450
06115,s
06116,21340
06117,26960
06118,25200
06119,s
06120,23970
06121,25340
06122,27840
06123,24360
06124,s
06125,s
06126,24210
06127,21270
06128,29400
06129,22120
06130,25090
06131,s
06132,17390
06133,s
06134,19730
06135,21680
06136,22500
06137,27400
06138,24420
06139,s
06140,26460
06141,22040
06142,22260
06143,21910
06144,21370
06145,23360
06146,24490
06147,26240
06148,27570
06149,22350
06150,29600
06151,22120
06152,29220
06153,20870
06154,18960
06155,22180
06156,19100
06157,25120
06158,21560
06159,26690
06160,s
06161,26260
06162,19000
06163,21070
07001,23310
07002,22830
07003,19890
07004,s
07005,22860
07006,16110
07007,21030
07008,24810
07009,21200
07010,19880
07011,19910
07012,19100
07013,22290
07014,20420
07015,21160
07017,22260
07018,s
07019,19710
07020,22610
07022,22850
07023,22210
07024,20970
