Code géographique,Médiane du niveau vie (€)
21457,s
21458,26410
21459,24470
21460,s
21461,22100
21462,29200
21463,s
21464,23140
21465,s
21466,s
21467,25380
21468,s
21469,28410
21470,s
21471,s
21472,23420
21473,25500
21474,21780
21475,22040
21476,21220
21477,s
21478,27520
21479,s
21480,28750
21481,25290
21482,21690
21483,27240
21484,s
21485,23480
21487,24770
21488,19980
21489,s
21490,20570
21491,s
21492,26950
21493,22770
21494,s
21495,23250
21496,21600
21497,27370
21498,s
21499,22910
21500,23420
21501,23420
21502,22310
21503,23350
21504,25390
21505,21460
21506,25390
21508,28510
21510,23690
21511,24260
21512,29130
21514,25290
21515,22670
21516,s
21517,27260
21518,22880
21519,19460
21520,27290
21521,27210
21522,22580
21523,26610
21524,s
21525,20900
21526,s
21527,25190
21528,22270
21529,s
21530,25590
21531,21730
21532,28060
21533,s
21534,26300
21535,27650
21536,23630
21537,20240
21538,23090
21539,s
21540,25330
21541,33610
21542,26340
21543,23620
21544,s
21545,21300
21546,23480
21547,22870
21548,20990
21549,s
21550,23250
21552,s
21553,25500
21554,18400
21555,27690
21556,24710
21557,22790
21558,26220
21559,25860
21560,21240
21561,25030
21562,20970
21563,24780
21564,25810
21565,26350
21566,21260
21567,22030
21568,22410
21569,27660
21570,22540
21571,22660
21572,23140
21573,22150
21574,24020
21575,21970
21576,18770
21577,21900
21578,25390
21579,23680
21580,21700
21581,24690
21582,24620
21583,s
21584,20760
21585,24490
21586,26570
21587,25250
21588,s
21589,s
21590,26660
21591,29200
21592,25380
21593,s
21594,23640
21595,27380
21596,27510
21597,s
21598,23750
21599,23810
21600,26970
21601,27180
21602,s
21603,22040
21604,23020
21605,25280
21606,26400
21607,20470
21608,22030
21609,24470
21610,23010
21611,23930
21612,s
21613,23350
21614,27040
21615,20780
21616,30060
21617,23800
21618,21920
21619,24490
21620,25570
21622,24700
21623,25920
21624,23390
21625,s
21626,s
21627,s
21628,s
21629,22200
21630,23530
21631,s
21632,26240
21633,23290
21634,22260
21635,21580
21636,21480
21637,22920
21638,25410
21639,23110
21640,22010
21641,23810
21642,21530
21643,25480
21644,26390
21645,22690
21646,23160
21647,24640
21648,24230
21649,s
21650,25760
21651,24270
21652,24250
21653,s
21655,18880
21656,26920
21657,29760
21659,23170
21660,s
21661,27330
21662,s
21663,20340
21664,s
21665,22670
21666,s
21667,25120
21669,s
21670,21290
21671,s
21672,s
21673,23020
21674,21410
21675,s
21676,25060
21677,s
21678,24840
21679,22140
21680,23540
21681,23180
21682,26020
21683,19810
21684,27450
21685,22050
21686,27410
21687,21360
21688,31980
21689,31110
21690,19550
21691,26430
21692,26840
21693,s
21694,s
21695,s
21696,s
21698,25320
21699,24160
21700,s
21701,22640
21702,25300
21703,s
21704,s
21705,s
21706,22400
21707,20080
21708,26630
21709,24240
21710,20930
21711,22580
21712,36780
21713,24110
21714,30050
21715,21050
21716,28010
21717,18900
22001,21490
22002,24820
22003,22510
22004,22200
22005,20200
22006,20180
22008,24120
22009,20680
22011,22580
22012,22330
22013,21300
22014,21470
22015,22830
22016,25130
22018,20910
22019,22400
22020,22280
22021,21720
22023,20170
22024,17700
22025,19970
22026,22070
22027,20070
22028,22640
22029,19910
22030,23050
22031,18680
22032,22210
22033,20580
22034,22720
22035,22020
22036,23320
22037,18110
22039,19820
22040,21430
22041,20340
22042,22720
22043,20350
22044,24530
22045,23640
22046,21360
22047,20600
22048,22910
22049,22420
22050,23290
22052,21000
22053,19640
22054,25380
22055,26210
22056,22460
22057,21260
22059,23110
22060,21510
22061,20520
22062,21670
22063,20680
22064,21750
22065,22160
22067,23070
22068,21590
22069,21770
22070,18300
22071,21610
22072,19810
22073,21700
22074,20910
22075,21060
22076,22810
22077,22130
22079,22490
22081,24090
22082,24030
22083,20130
22084,22170
22085,24670
22086,23180
22087,20160
22088,18460
22090,22960
22091,21260
22092,19180
22093,23510
22094,27430
22095,22090
22096,20380
22097,22870
22098,23370
22099,21930
22101,22110
22103,25400
22104,20520
22105,21460
22106,24170
22107,21070
22108,23430
22109,22780
22110,21130
22111,22330
22112,20390
22113,23220
22114,21050
22115,18110
22116,22630
22117,23960
22118,23960
22119,21830
22121,21760
22122,20990
22124,16810
22126,19930
22127,23020
22128,18820
22129,s
22131,20750
22132,18470
22133,23170
22134,26670
22135,21470
22136,21810
22137,20320
22138,17520
22139,s
22140,23430
22141,21170
22143,22920
22144,23090
22145,21260
22146,18280
22147,21690
22148,20050
22149,20710
22150,22850
22152,21950
22153,22130
22155,22590
22156,22680
22157,22040
22158,21550
22160,24310
22161,23390
22162,23630
22163,20390
22164,21810
22165,22810
22166,24500
22168,25970
22169,19560
22170,22090
22171,23570
22172,21380
22174,23090
22175,22610
22176,22800
22177,22260
22178,21930
22179,24130
22180,23190
22181,21010
22182,23430
22183,21950
22184,22070
22185,22310
22186,26000
22187,25190
22188,23080
22189,19400
22190,23080
22193,23360
22194,23310
22195,22710
22196,21920
22197,23130
22198,25900
22199,21280
22200,21550
22201,23870
22202,21000
22203,21800
22204,20460
22205,21600
22206,22240
22207,21840
22208,21060
22209,22260
22210,24970
22211,23310
22212,21060
22213,25740
22214,23140
22215,22340
22216,19580
22217,18620
22218,22150
22219,21700
22220,22320
22221,21140
22222,23140
22223,22490
22224,23360
22225,22590
22226,22440
22227,21610
22228,20100
22229,21220
22231,18570
22232,23510
22233,22190
22234,21630
22235,20230
22236,21800
22237,23360
22238,20540
22239,22100
22240,21500
22241,21130
22242,23630
22243,20950
22244,20890
22245,20650
22246,23540
22248,21250
22249,20680
22250,19440
22251,25870
22254,21410
22255,21430
22256,21650
22257,22540
22258,23130
22259,23620
22260,21680
22261,21880
22262,22240
22263,21850
22264,21260
22265,22940
22266,20170
22267,20400
22268,23170
22269,20140
22271,23410
22272,23560
22273,23330
22274,20350
22275,22460
22276,23180
22277,22530
22278,20910
22279,21350
22280,23030
22281,22440
22282,25800
22283,21360
22284,17840
22285,20730
22286,23460
22287,23250
22288,20060
22289,21870
22291,22940
22293,20920
22294,18720
22295,21550
22296,23200
22299,22880
22300,22740
22302,26170
22304,21730
22305,21790
22306,22560
22307,23070
22308,21920
22309,21500
22310,22010
22311,23420
22312,22910
22313,19340
22314,22070
22315,22830
22316,19190
22317,21820
22318,21340
22319,23640
22320,18760
22321,20940
22322,21360
22323,22190
22324,26160
22325,24910
22326,21400
22327,22990
22328,19160
22330,21860
22331,21990
22332,22700
22333,20360
22334,20830
22335,21100
22337,20900
22338,22600
22339,23670
22340,22200
22341,23270
22342,20390
22343,26120
22344,20920
22345,22300
22346,22820
22347,22620
22348,20460
22349,24280
22350,21460
22351,23160
22352,22320
22353,25800
22354,22270
22356,23680
22358,21570
22359,19800
22360,23310
22361,23190
22362,20050
22363,25620
22364,23240
22365,20570
22366,22500
22368,22790
22369,22940
22370,22440
22371,22430
22372,23350
22373,s
22375,23330
22376,22360
22377,24270
22378,20860
22379,24730
22380,22450
22381,23020
22383,21800
22384,21790
22385,23520
22386,21930
22387,21280
22388,22230
22389,23230
22390,21820
22391,21780
23001,21460
23002,21860
23003,19310
23004,21640
23005,18620
23006,18520
23007,21630
23008,18830
23009,s
23010,19250
23011,22910
23012,18340
23013,20010
23014,19540
23015,21570
23016,20790
23017,17380
23018,21290
23019,s
23020,21510
23021,19820
23022,18970
23023,18410
23024,21500
23025,20730
23026,18890
23027,18450
23028,18260
23029,20760
23030,17860
23031,18410
23032,20950
23033,23140
23034,s
23035,21960
23036,21300
23037,s
23038,19360
23039,21900
23040,20050
23041,18710
23042,18430
23043,22070
23044,s
23045,19880
23046,s
23047,20770
23048,19680
23049,20420
23050,17580
23051,s
23052,23490
23053,19490
23054,17490
23055,s
23056,18460
23057,20190
23058,s
23059,s
23060,18680
23061,19930
23062,19310
23063,21110
23064,20750
23065,19750
23066,19200
23067,21990
23068,21240
23069,18570
23070,18720
23071,19200
23072,21780
23073,20510
23074,18450
23075,21540
23076,20870
23077,16970
23078,22010
23079,19690
23080,s
23081,19320
23082,23080
23083,20600
23084,20020
23086,21620
23087,19620
23088,22900
23089,19590
23090,18260
23091,18220
23092,23210
23093,22100
23095,20840
23096,20830
23097,19390
23098,s
23099,20500
23100,21010
23101,23620
23102,17600
23103,19360
23104,18380
23105,17870
23106,20770
23107,18190
23108,15910
23109,18900
23110,s
23111,21260
23112,20090
23113,18160
23114,20180
23115,19460
23116,17910
23117,21300
23118,20000
23119,s
23120,20550
23122,s
23123,19680
23124,21260
23125,19220
23127,16400
23128,23670
23129,s
23130,19800
23131,20110
23132,19700
23133,20540
23134,18540
23136,18530
23137,20040
23138,19210
23139,19370
23140,21740
23141,21190
23142,20010
23143,21170
23144,19470
23145,20300
23146,19180
23147,19760
23148,19490
23149,20770
23150,22320
23151,19030
23152,s
23154,20490
23155,21380
23156,s
23157,s
23158,20490
23159,20340
23160,19920
23162,20630
23164,18830
23165,21430
23166,20480
23167,19700
23168,21270
23169,23770
23170,24410
23171,15280
23172,18330
23173,21000
23174,20150
23175,24970
23176,20300
23177,21780
23178,16770
23179,20790
23180,21790
23181,17270
23182,18960
23183,s
23184,s
23185,19020
23186,25090
23187,19980
23188,20500
23189,20320
23190,17990
23191,21450
23192,21240
23193,24550
23194,19150
23195,23890
23196,18400
23197,20090
23198,20100
23199,20340
23200,20720
23201,21420
23202,20470
23203,23180
23204,20460
23205,19240
23206,22970
23207,21070
23208,22200
23209,18900
23210,22580
23211,22230
23212,19290
23213,16120
23214,20080
23215,19380
23216,17020
23217,19770
23218,16820
23219,20890
23220,20070
23221,19780
23222,21140
23223,14420
23224,s
23225,18270
23226,19870
23227,18690
23228,22290
23229,19930
23230,19630
23232,19720
23233,19880
23234,18150
23235,21390
23236,22310
23237,s
23238,20200
23239,19570
23240,21170
23241,18960
23242,19710
23243,17380
23244,20930
23245,23930
23246,20540
23247,22450
23248,23370
23249,18700
23250,20020
23251,16890
23252,16780
23253,19810
23254,19270
23255,20990
23257,20150
23258,20960
23259,25950
23260,18550
23261,19070
23262,19470
23263,22050
23264,s
23265,s
23266,17290
24001,19940
24002,23340
24004,21390
24005,20850
24006,22320
24007,23880
24008,20850
24009,21890
24010,23160
24011,22750
24012,21200
24014,21750
24015,21470
24016,20580
24018,21140
24019,20090
24020,21560
24021,18620
24022,23450
24023,22280
24024,s
24025,19300
24026,23300
24027,21200
24028,21650
24029,19920
24030,21650
24031,21870
24032,20330
24034,22500
24035,20370
24036,20470
24037,20040
24038,19400
24039,18150
24040,21910
24042,21840
24043,19600
24045,21240
24046,15780
24048,20580
24050,18860
24051,21790
24052,18510
24053,23310
24054,21730
24055,20560
24056,20430
24057,s
24058,20700
24059,22550
24060,s
24061,21950
24062,19980
24063,24500
24064,22100
24066,19530
24067,20450
24068,20970
24069,24140
24070,19120
24071,18530
24073,22110
24074,21520
24075,20860
24076,20560
24077,21770
24080,21100
24081,21240
24082,22730
24083,21170
24084,s
24085,22840
24086,21250
24087,20770
24088,21940
24090,21640
24091,21790
24094,22110
24095,19600
24096,21720
24097,21480
24098,25900
24100,18550
24101,19680
24102,22760
24104,22430
24105,23390
24106,20810
24107,21470
24108,24620
24109,s
24110,s
24111,s
24113,s
24114,s
24115,23220
24116,20730
24117,23490
24119,21500
24120,22320
24121,s
24122,s
24123,17550
24124,21290
24126,23010
24128,21390
24129,21360
24130,20960
24131,s
24132,23760
24133,19490
24134,20630
24135,25320
24136,20150
24137,21230
24138,22030
24139,24550
24140,22390
24141,21550
24142,21920
24143,21160
24144,s
24145,22110
24146,23010
24147,21580
24148,21640
24150,22150
24151,s
24152,21430
24153,23070
24154,20310
24155,22030
24156,20340
24157,20570
24158,21510
24159,20300
24160,24840
24161,21600
24162,23230
24163,16550
24164,20240
24165,20460
24167,21130
24168,19540
24171,22310
24172,20540
24174,18650
24175,23120
24176,s
24177,23020
24179,23840
24180,18920
24182,20970
24183,23150
24184,20150
24186,17700
24188,20110
24189,21640
24190,22190
24191,21770
24192,s
24193,23510
24194,20870
24195,18250
24196,21630
24197,22690
24199,21150
24200,21330
24202,23100
24205,21280
24206,s
24207,22420
24208,21390
24209,16480
24210,21050
24211,21290
24212,21440
24213,20670
24214,19930
24215,21280
24216,19980
24217,21180
24218,20450
24220,21140
24221,19740
24222,22110
24223,21750
24224,22900
24225,21290
24226,21010
24227,19450
24228,23290
24229,20390
24230,20360
24231,s
24232,s
24234,21820
24236,23380
24237,23360
24238,21370
24240,20300
24241,21130
24242,22630
24243,20020
24244,18240
24245,17580
24246,22180
24247,20440
24248,20130
24251,21460
24252,22350
24253,20410
24254,20960
24255,21670
24256,22230
24257,20830
24259,22100
24260,21380
24261,17590
24262,21680
24263,20310
24264,21410
24266,21770
24267,21430
24268,20890
24269,19560
24271,20840
24272,22700
24273,21500
24274,25040
24276,21150
24277,19200
24278,s
24279,s
24280,18700
24281,22550
24282,25410
24284,22160
24285,18400
24286,20300
24287,22580
24288,24230
24289,21200
24290,18630
24291,20610
24292,20310
24293,22980
24294,20380
24295,21910
24296,22080
24297,20360
24299,19320
24300,21940
24301,21190
24302,22920
24303,20800
24304,21420
24305,21350
24306,21130
24307,19260
24308,21460
24309,20890
24311,20720
24312,23620
24313,s
24316,19690
24317,21040
24318,21370
24319,21090
24320,19100
24321,21810
24322,20740
24323,21910
24324,21970
24325,19920
24326,19110
24327,24700
24328,20170
24329,20660
24330,19610
24331,23420
24334,22850
24335,20490
24336,22430
24337,17690
24338,20880
24339,22060
24340,22360
24341,22150
24345,24570
24346,20300
24347,20120
24348,20550
24349,21510
24350,21990
24351,22430
24352,19940
24353,21100
24354,19500
24355,23030
24356,19860
24357,23340
24359,19210
24360,20870
24361,21680
24362,21000
24364,21170
24365,21400
24366,22880
24367,19480
24370,20140
24371,21220
24372,22200
24373,21630
24374,23390
24375,21960
24376,20450
24377,21690
24378,s
24379,22750
24380,20550
24381,18350
24382,20360
24383,20910
24384,s
24385,23430
24386,18110
24388,21280
24390,22200
24392,22590
24393,s
24394,20320
24395,20230
24396,19500
24397,19480
24398,19250
24399,17340
24401,20710
24403,s
24404,21830
24405,20500
24406,s
24407,21980
24408,22650
24409,21540
24410,20850
24411,22830
24412,21470
24413,22660
24414,20920
24415,22120
24416,20360
24417,20470
24418,21430
24419,22430
24420,19190
24421,20780
24422,23170
24423,21610
24424,19400
24425,21150
24426,23760
24428,19060
24429,21670
24432,21080
24434,16450
24436,22180
24437,22760
24438,19030
24441,23030
24442,21100
24443,17720
24444,21730
24445,20290
24446,s
24448,22270
24449,22210
24450,21910
24451,21970
24452,20200
24453,22370
24454,19820
24455,21510
24456,22660
24457,22430
24458,21980
24459,21750
24460,20450
24461,21000
24462,21300
24463,22370
24464,19970
24465,19550
24466,21070
24468,21870
24470,22900
24471,22430
24472,23030
24473,19950
24474,22470
24476,21150
24477,20250
24478,20640
24479,19910
24480,24880
24481,19030
24482,20280
24483,20810
24484,22070
24485,19980
24486,19820
24487,21160
24488,20250
24489,19590
24490,20480
24491,22000
24492,s
24493,s
24494,22500
24495,17210
24496,22200
24498,19940
24499,24720
24500,21040
24501,19920
24502,21220
24504,21170
24505,20800
24507,20850
24508,24040
24509,19530
24510,19900
24511,20070
24512,23450
24513,22350
24514,19560
24515,20110
24516,22090
24517,s
24518,20400
24519,20430
24520,21280
24521,22450
24522,20780
24523,23400
24524,22700
24525,22680
24526,19790
24527,21320
24528,19280
24529,21650
24531,19600
24532,23080
24533,s
24534,21430
24535,21480
24536,21070
24537,24470
24538,20040
24540,22960
24541,s
24542,s
24543,22100
24544,20100
24545,s
24546,s
24547,19130
24548,18360
24549,20380
24550,19850
24551,20060
24552,21410
24553,21440
24554,21210
24555,20590
24557,23230
24558,20710
24559,19310
24560,23540
24562,24530
24563,20230
24564,20710
24565,21480
24566,23180
24567,23640
24568,19830
24569,20280
24570,s
24571,20110
24572,18520
24573,20770
24574,20220
24575,21120
24576,21090
24577,22000
24580,22060
24581,20710
24582,21310
24584,20130
24585,17800
24586,20950
24587,22490
25001,23510
25002,25560
25003,21030
25004,28270
25005,s
25006,s
25007,23140
25008,24270
25009,20390
25011,25430
25012,32250
25013,27300
25014,24290
25015,24220
25016,23150
25017,s
25018,23250
25019,23200
25020,22370
25021,22480
25022,24800
25024,28930
25025,26180
25026,22250
25029,24950
25030,26080
25031,18210
25032,24100
25033,25610
25035,27630
25036,26870
25038,22140
25039,25990
25040,24400
25041,28350
25042,31400
25043,25280
25044,s
25045,s
25046,s
25047,21910
25048,22790
25049,38630
25050,34190
25051,24150
25052,s
25053,s
25054,25630
25055,25630
25056,20680
25057,17310
25058,22730
25059,23280
25060,26500
25061,28350
25062,37740
25063,25920
25065,s
25066,s
25067,24540
25070,23130
25071,25610
25072,s
25073,25620
25074,32390
25075,33090
25077,s
25078,24260
25079,26350
25082,23670
25083,18550
25084,25490
25085,28130
25086,26880
25087,20910
25088,s
25089,21740
25090,s
25091,32910
25092,s
25093,s
25094,21530
25095,22510
25096,32920
25097,27760
25098,26120
25099,29850
25100,28390
25101,25370
25102,s
25103,25720
25104,s
25105,23260
25106,s
25107,22520
25108,34080
25109,24520
25110,28850
25111,25770
25112,24660
25113,24960
25114,24960
25115,26060
25116,22180
25117,s
25119,26250
25120,24790
25121,24880
25122,26560
25124,32260
25125,23700
25126,24390
25127,32280
25129,21510
25130,s
25131,29230
25132,25180
25133,29410
25136,25200
25138,23190
25139,27150
25141,s
25142,31630
25143,23250
25145,22860
25147,26550
25148,38520
25149,24630
25150,23970
25151,25550
25152,26190
25153,28710
25154,23860
25155,23690
25156,20050
25157,31230
25159,22690
25160,33650
25161,s
25162,24890
25163,s
25164,24530
25166,s
25170,24560
25171,s
25172,24350
25173,24530
25174,29490
25175,s
25176,26530
25177,22100
25178,21590
25179,s
25180,21910
25181,23320
25182,s
25183,s
25184,21230
25185,s
25186,25140
25187,25200
25188,27770
25189,24340
25190,25710
25191,22590
25192,25210
25193,28300
25194,s
25195,25540
25196,25670
25197,22170
25198,26440
25199,24710
25200,26340
25201,29800
25202,26550
25203,25350
25204,30830
25207,26980
25208,26050
25209,22400
25210,26460
25211,s
25212,26150
25213,32900
25214,24750
25215,19670
25216,23730
25217,23010
25218,24650
25219,27100
25220,23780
25221,s
25222,24050
25223,20810
25224,26700
25225,22960
25226,23980
25227,26730
25228,22770
25229,24230
25230,22480
25231,27580
25232,23170
25233,25670
25234,32370
25235,25040
25236,22400
25237,22280
25238,29940
25239,23720
25240,33200
25241,23050
25242,23440
25243,25130
25244,s
25245,27860
25246,20340
25247,s
25248,29310
25249,s
25251,23350
25252,34890
25253,23570
25254,31340
25255,33740
25256,33930
25257,24110
25258,25460
25259,28060
25261,s
25262,30610
25263,36100
25264,s
25265,27610
25266,21290
25267,25670
25268,19300
25269,s
25270,25000
25271,31050
25273,23620
25274,26240
25275,27140
25276,21060
25277,s
25278,23990
25279,21350
25280,28310
25281,22810
25282,26230
25283,s
25284,18290
25285,34650
25286,32160
25287,26850
25288,29430
25289,s
25290,s
25293,35140
25295,32320
25296,33230
25297,24680
25298,24030
25299,s
25300,26260
25301,28540
25303,32770
25304,21740
25305,24350
25306,22070
25307,39630
25308,36170
25309,31480
25310,s
25311,22340
25312,s
25313,21270
25314,30130
25315,20410
25316,26910
25317,22740
25318,39910
25320,36220
25321,36430
25322,27980
25323,20930
25324,23900
25325,23320
25326,25510
25327,s
25328,26820
25329,s
25330,25270
25331,24770
25332,24100
25333,23330
25334,24730
25335,21260
25336,22040
25338,s
25339,21760
25340,24280
25341,23500
25342,s
25343,24600
25344,s
25345,24480
25346,24390
25347,30870
25348,39190
25349,27090
25350,23800
25351,28490
25354,20710
25355,s
25356,27660
25357,29660
25359,21570
25360,23290
25361,35800
25362,32800
25364,26160
25365,21910
25366,30950
25367,20330
25368,24480
25369,25650
25370,24880
25371,29270
25372,20790
25373,s
25374,23290
25375,25240
25376,23170
25377,22180
25378,24800
25379,s
25380,38280
25381,26730
25382,24560
25383,24740
25384,s
25385,22950
25386,27020
25387,29760
25388,18600
25389,28710
25390,26580
25391,32060
25392,36550
25393,23970
25394,25020
25395,31270
25397,25230
25398,36770
25400,23300
25401,s
25402,s
25403,35590
25404,s
25405,39780
25406,26280
25408,s
25410,26020
25411,31230
25413,32260
25414,24330
25415,24120
25416,23980
25417,24540
25418,25240
25419,21060
25420,22490
25421,s
25422,28340
25424,24950
25425,38600
25426,24090
25427,25420
25428,24660
25429,22210
25430,s
25431,24000
25432,29140
25433,s
25434,23320
25435,25120
25436,s
25437,24500
25438,24710
25439,23460
25440,24120
25441,s
25442,35270
25443,s
25444,26580
25445,24470
25446,24000
25447,25980
25448,25590
25449,25070
25450,s
25451,37360
25452,27140
25453,23120
25454,27340
25455,25830
25456,28480
25457,22870
25458,27040
25459,29580
25460,24890
25461,21920
25462,25080
25463,22130
25464,33080
25465,22760
25466,25480
25467,26800
25468,24530
25469,25110
25470,22850
25471,22610
25472,s
25473,25110
25474,21060
25475,22950
25476,22290
25477,27530
25478,20200
25479,21670
25481,25530
25482,25880
25483,s
25485,23670
25486,32610
25487,s
25488,22180
25489,22110
25490,23150
25491,20690
25492,s
25493,27430
25494,35080
25495,22590
25496,18180
25497,26390
25498,s
25499,22440
25500,s
25501,s
25502,23310
25503,23240
25504,s
25505,21700
25506,23130
25507,s
25508,24240
25510,25620
25511,23530
25512,30740
25513,s
25514,36770
25515,31930
25516,19900
25517,26980
25518,24250
25519,22190
25520,22500
25521,26670
25522,32560
25523,26570
25524,24830
25525,35190
25526,21330
25527,23430
25528,s
25529,22600
25532,25410
25533,s
25534,37460
25535,25160
25536,23480
25537,24720
25538,20920
25539,23690
25540,25160
25541,23990
25542,25110
25544,23580
25545,23560
25546,s
25547,17050
25548,24850
25549,25720
25550,23470
25551,24550
25552,19320
25553,21580
25554,22940
25555,26090
25556,s
25557,30230
25558,25180
25559,26200
25560,25810
25561,24040
25562,27490
25563,23570
25564,24950
25565,37280
25566,24770
25567,21840
25569,24690
25570,s
25571,29420
25572,s
25573,s
25574,20880
25575,24790
25578,23700
25579,25800
25580,19380
25582,22180
25583,24560
25584,27930
25586,26720
25588,s
25589,s
25590,s
25591,20830
25592,34690
25594,24840
25595,s
25596,s
25597,21300
25598,23980
25599,24170
25600,35520
25601,24720
25602,22220
25604,22000
25605,24580
25607,s
25608,24850
25609,34880
25611,25750
25612,23720
25613,s
25614,23020
25615,26590
25616,25520
25617,24450
25618,23940
25619,32200
25620,27730
25621,24180
25622,25650
25623,24580
25624,21740
25625,s
25626,24580
25627,22710
25629,24140
25630,s
25631,25790
25632,23980
25633,22610
25634,31570
25635,23410
26001,21070
26002,23340
26003,s
26004,24590
26005,26490
26006,25130
26007,23720
26008,22900
26009,21960
26010,23380
26011,22200
26012,s
26013,s
26014,23710
26015,s
26016,20730
26017,s
26018,s
26019,20100
26020,22530
26021,23230
26022,s
26023,23100
26024,27790
26025,19950
26026,s
26027,19580
26028,22740
26030,s
26031,23930
26032,25110
26033,22940
26034,24560
26035,20380
26036,s
26037,25650
26038,24170
26039,25110
26040,s
26041,24590
26042,25190
26043,20620
26045,23440
26046,s
26047,s
26048,s
26049,25380
26050,s
26051,s
26052,24250
26054,23020
26055,15410
26056,21080
26057,21290
26058,22050
26059,23070
26060,16680
26061,24830
26062,s
26063,21500
26064,24700
26065,25540
26066,s
26067,s
26068,24590
26069,18950
26070,22350
26071,25830
26072,23250
26073,24740
26074,22520
26075,s
26076,s
26077,24400
26078,22350
26079,24950
26080,s
26081,26050
26082,20400
26083,21040
26084,24650
26085,22390
26086,20650
26087,23990
26088,24710
26089,s
26090,s
26091,s
26092,22700
26093,26080
26094,21820
26095,22570
26096,22880
26097,24900
26098,21980
26099,23960
26100,23910
26101,20010
26102,22480
26103,20200
26104,s
26105,s
26106,21770
26107,23090
26108,20500
26110,27100
26111,s
26112,20270
26113,20890
26114,21500
26115,23730
26116,21930
26117,s
26118,23070
26119,23410
26121,25600
26122,20680
26123,s
26124,24560
26125,24820
26126,s
26127,17900
26128,s
26129,24450
26130,s
26131,22690
26133,22920
26134,s
26135,19450
26136,s
26137,21370
26138,26150
26139,27810
26140,25160
26141,19180
26142,14570
26143,19960
26144,23920
26145,25700
26146,24690
26147,s
26148,23360
26149,23620
26150,s
26152,s
26153,s
26154,18860
26155,22060
26156,25330
26157,24580
26159,20700
26160,21030
26161,s
26162,22610
26163,s
26164,s
26165,22630
26166,21560
26167,17840
26168,19400
26169,25230
26170,27020
26171,21250
26172,22250
26173,25440
26174,23500
26175,20920
26176,26000
26177,24710
26178,21280
26179,26080
26180,21820
26181,18650
26182,22890
26183,24230
26185,26440
26186,s
26188,21840
26189,15290
26190,s
26191,25030
26192,21360
26193,18880
26194,22080
26195,20720
26196,27010
26197,27140
26198,21350
26199,s
26200,s
26201,s
26202,22980
26203,24030
26204,19030
26205,s
26206,26310
26207,21270
26208,25660
26209,s
26210,21310
26211,24710
26212,25510
26213,22370
26214,s
26215,20150
26216,21340
26217,24060
26218,25030
26220,21150
26221,s
26222,s
26223,23170
26224,22350
26225,23800
26226,22420
26227,s
26228,s
26229,s
26231,24660
26232,26060
26233,21290
26234,22090
26235,20230
26236,20210
26238,17970
26239,19390
26240,19770
26241,20640
26242,s
26243,22420
26244,17400
26245,s
26246,22040
26247,23710
26248,19950
26249,21710
26250,23110
26251,23680
26252,21680
26253,s
26254,s
26255,s
26256,17400
26257,24110
26258,24910
26259,22720
26261,23710
26262,18890
26263,18830
26264,22310
26266,s
26267,s
26268,21320
26269,s
26270,21680
26271,24750
26272,24380
26273,24710
26274,s
26275,25520
26276,22030
26277,20570
26278,20650
26279,s
26281,20520
26282,20270
26283,s
26284,26910
26285,23430
26286,s
26287,24060
26288,20950
26289,21510
26290,19010
26291,s
26292,19220
26293,22670
26294,24760
26295,22830
26296,s
26298,21560
26299,19420
26300,s
26301,23080
26302,22980
26303,s
26304,18870
26305,22840
26306,17860
26307,22670
26308,18460
26309,21770
26310,21590
26311,21920
26312,25390
26313,24130
26314,22990
26315,19660
26316,24010
26317,20040
26318,s
26319,24110
26320,20970
26321,16760
26322,23810
26323,23450
26324,23910
26325,19890
26326,28290
26327,21960
26328,s
26329,17800
26330,22590
26331,21880
26332,21920
26333,18280
26334,22250
26335,23000
26336,20040
26337,21660
26338,26630
26339,25600
26340,18930
26341,22580
26342,25510
26343,22170
26344,22450
26345,24490
26346,24980
26347,22330
26348,21160
26349,23250
26350,s
26351,s
26352,21640
26353,22020
26355,24020
26356,13860
26357,21060
26358,25570
26359,s
26360,24710
26361,16270
26362,20610
26363,s
26364,20290
26365,24230
26367,22000
26368,21510
26369,s
26370,20000
26371,s
26372,s
26373,18710
26374,s
26375,s
26376,s
26377,23190
26378,s
26379,23790
26380,23760
26381,24650
26382,24210
27001,22690
27002,23540
27003,24460
27004,24770
27005,25940
27006,24990
27008,22900
27009,19510
27010,24010
27011,24500
27012,26090
27013,24560
27014,27410
27015,25410
27016,20750
27017,23710
27018,24010
27019,23950
27020,25340
27021,22600
27022,21710
27023,25030
27025,24910
27026,26200
27027,23420
27028,21000
27031,29010
27032,25200
27033,26250
27034,22740
27035,24890
27036,22670
27037,23290
27038,22210
27039,24980
27040,22450
27042,s
27043,21330
27044,27070
27045,25000
27046,21080
27047,22060
27048,25440
27049,21720
27050,24420
27051,21140
27052,25080
27053,25410
27054,22820
27055,24480
27056,20490
27057,25630
27059,23880
27061,24280
27062,25530
27063,22690
27064,22560
27065,22080
27066,20680
27067,24130
27068,18540
27069,22910
27070,23050
27071,23490
27072,26300
27073,24320
27074,22680
27075,21470
27076,25160
27077,21930
27078,27860
27079,22510
27081,29360
27082,21780
27083,24820
27085,24490
27089,26140
27090,25320
27091,26520
27094,23520
27095,23400
27096,22860
27097,25410
27098,s
27099,25730
27100,24720
27101,24960
