Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communes et arrondissements municipaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 29/01/2024       Géographie au 01/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Médiane du niveau vie (€),Part des ménages fiscaux imposés (%),Taux de pauvreté-Ensemble (%),Taux de pauvreté-moins de 30 ans (%),Taux de pauvreté-30 à 39 ans  (%),Taux de pauvreté-40 à 49 ans (%),Taux de pauvreté-50 à 59 ans (%),Taux de pauvreté-60 à 74 ans (%),Taux de pauvreté-75 ans ou plus (%),Taux de pauvreté-propriétaires (%),Taux de pauvreté-locataires (%),Part des revenus d'activité (%),dont part des salaires et traitements (%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%),1ᵉʳ décile du niveau de vie (€),9ᵉ décile du niveau de vie (€),Rapport interdécile 9ᵉ décile/1ᵉʳ décile
CODGEO,LIBGEO,NBMENFISC21,NBPERSMENFISC21,MED21,PIMP21,TP6021,TP60AGE121,TP60AGE221,TP60AGE321,TP60AGE421,TP60AGE521,TP60AGE621,TP60TOL121,TP60TOL221,PACT21,PTSA21,PCHO21,PBEN21,PPEN21,PPAT21,PPSOC21,PPFAM21,PPMINI21,PPLOGT21,PIMPOT21,D121,D921,RD21
11378,Serviès-en-Val,106,205,20380,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11379,Sigean,2552,5299,20690,"43,0","18,0",s,s,s,s,"15,0",s,"11,0","34,0","56,7","48,6","3,5","4,6","42,0","7,4","6,7","2,0","3,4","1,3","-12,8",11320,33170,"2,9"
11380,Sonnac-sur-l'Hers,62,127,22030,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11381,Sougraigne,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11382,Souilhanels,144,346,24020,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11383,Souilhe,148,360,22810,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11384,Soulatgé,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11385,Soupex,107,232,21700,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11386,Talairan,183,385,18620,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11387,Taurize,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11388,Termes,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11389,Terroles,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11390,Thézan-des-Corbières,269,567,19790,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11391,La Tourette-Cabardès,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11392,Tournissan,141,273,18190,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11393,Tourouzelle,228,465,20730,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11394,Tourreilles,63,129,20630,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11395,Trassanel,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11396,Trausse,276,587,19260,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11397,Trèbes,2417,5085,19250,"39,0","24,0",s,"43,0","31,0",s,"16,0",s,"11,0","42,0","54,4","47,6","2,9","3,9","41,1","5,9","10,3","2,7","5,4","2,2","-11,7",10430,32220,"3,1"
11398,Treilles,118,233,19130,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11399,Tréville,47,106,22520,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11400,Tréziers,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11401,Tuchan,413,751,18770,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11402,Valmigère,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11404,Ventenac-Cabardès,414,971,22480,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11405,Ventenac-en-Minervois,275,599,22260,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11406,Véraza,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11407,Verdun-en-Lauragais,131,277,22840,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11408,Verzeille,192,447,21210,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11409,Vignevieille,48,104,19230,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11410,Villalier,396,870,21280,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11411,Villanière,70,139,18780,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11412,Villardebelle,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11413,Villardonnel,207,420,20220,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11414,Villar-en-Val,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11415,Villar-Saint-Anselme,55,110,20720,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11416,Villarzel-Cabardès,114,275,20930,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11417,Villarzel-du-Razès,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11418,Villasavary,489,1163,21270,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11419,Villautou,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11420,Villebazy,60,132,20080,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11421,Villedaigne,255,576,17280,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11422,Villedubert,148,324,24050,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11423,Villefloure,68,146,21200,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11424,Villefort,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11425,Villegailhenc,759,1755,21610,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11426,Villegly,534,1210,20520,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11427,Villelongue-d'Aude,144,301,20260,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11428,Villemagne,112,230,20370,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11429,Villemoustaussou,1907,4483,23540,"55,0","11,0",s,s,s,s,s,s,"7,0","27,0","69,5","57,8","2,6","9,1","33,1","8,9","4,6","1,9","1,9","0,8","-16,1",13570,40640,"3,0"
11430,Villeneuve-la-Comptal,566,1394,22920,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11431,Villeneuve-les-Corbières,104,212,16280,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11432,Villeneuve-lès-Montréal,118,304,22670,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11433,Villeneuve-Minervois,432,882,20160,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11434,Villepinte,534,1189,20090,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11435,Villerouge-Termenès,82,144,14680,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11436,Villesèque-des-Corbières,186,366,16910,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11437,Villesèquelande,357,842,22280,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11438,Villesiscle,148,336,21360,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11439,Villespy,184,422,20760,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11440,Villetritouls,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11441,Vinassan,1185,2609,23920,"56,0","9,0",s,s,s,s,s,s,s,s,"70,6","59,4","2,9","8,3","33,9","6,9","4,0","1,4","1,9","0,7","-15,4",13970,38950,"2,8"
12001,Agen-d'Aveyron,473,1114,25590,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12002,Aguessac,413,954,22260,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12003,Les Albres,144,300,20800,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12004,Almont-les-Junies,190,422,20750,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12006,Alrance,157,352,19830,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12007,Ambeyrac,79,165,20850,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12008,Anglars-Saint-Félix,334,829,21490,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12009,Arnac-sur-Dourdou,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12010,Arques,57,127,23840,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12011,Arvieu,352,756,21580,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12012,Asprières,304,657,21410,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12013,Aubin,1721,3390,20090,"39,0","18,0",s,s,s,s,s,s,"13,0","36,0","51,0","44,6","2,2","4,2","46,7","7,3","6,2","1,7","3,4","1,1","-11,2",11430,31710,"2,8"
12015,Auriac-Lagast,98,240,19270,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12016,Auzits,366,765,21330,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12017,Ayssènes,97,193,18730,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12018,Balaguier-d'Olt,75,166,23610,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12019,Balaguier-sur-Rance,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12021,Le Bas Ségala,704,1578,20100,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12022,La Bastide-Pradines,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12023,La Bastide-Solages,51,103,21100,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12024,Belcastel,92,195,23650,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12025,Belmont-sur-Rance,390,792,20720,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12026,Bertholène,414,979,21800,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12027,Bessuéjouls,106,235,22840,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12028,Boisse-Penchot,230,460,19570,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12029,Bor-et-Bar,94,203,16560,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12030,Bouillac,194,397,19900,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12031,Bournazel,122,288,23030,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12032,Boussac,242,606,21580,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12033,Bozouls,1312,2944,23480,"51,0","9,0",s,s,s,s,s,s,s,s,"67,2","57,2","1,8","8,2","26,9","17,3","3,7","1,5","1,5","0,7","-15,1",14290,37370,"2,6"
12034,Brandonnet,136,296,21540,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12035,Brasc,71,145,14550,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12036,Brommat,297,587,20440,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12037,Broquiès,276,554,18190,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12038,Brousse-le-Château,86,164,19560,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12039,Brusque,139,235,19580,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12041,Cabanès,116,268,19540,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12042,Calmels-et-le-Viala,86,195,21860,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12043,Calmont,792,2021,25540,"59,0",s,s,s,s,s,s,s,s,s,"70,3","61,1","1,7","7,5","25,0","16,4","3,2","1,6","1,0","0,6","-14,9",15260,38310,"2,5"
12044,Camarès,478,959,20760,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12045,Camboulazet,159,397,23240,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12046,Camjac,260,573,21690,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12047,Campagnac,182,404,20260,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12048,Campouriez,179,342,22220,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12049,Campuac,186,414,21670,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12050,Canet-de-Salars,186,402,22110,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12051,Cantoin,146,297,19050,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12052,Capdenac-Gare,2185,4280,20860,"42,0","15,0",s,s,s,s,s,s,"8,0","29,0","60,4","53,3","2,6","4,5","38,7","6,5","6,7","1,7","3,7","1,3","-12,3",12420,32770,"2,6"
12053,La Capelle-Balaguier,133,306,22550,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12054,La Capelle-Bleys,167,370,19670,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12055,La Capelle-Bonance,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12056,Baraqueville,1364,3061,22810,"47,0","9,0",s,s,s,s,s,s,s,s,"71,0","61,9","1,9","7,2","27,9","9,7","4,7","2,1","1,7","0,9","-13,3",14170,35790,"2,5"
12057,Cassagnes-Bégonhès,421,895,21150,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12058,Cassuéjouls,59,111,18610,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12059,Castanet,214,518,21780,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12060,Castelmary,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12061,Castelnau-de-Mandailles,252,561,21390,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12062,Castelnau-Pégayrols,154,333,21980,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12063,La Cavalerie,482,1181,20980,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12064,Le Cayrol,104,209,17720,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12065,Centrès,228,453,18170,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12066,Clairvaux-d'Aveyron,423,943,23940,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12067,Le Clapier,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12068,Colombiès,409,840,19990,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12069,Combret,109,245,18980,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12070,Compeyre,233,546,24110,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12071,Compolibat,141,303,21590,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12072,Comprégnac,106,233,23120,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12073,Comps-la-Grand-Ville,264,657,22850,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12074,Condom-d'Aubrac,122,256,17980,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12075,Connac,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12076,Conques-en-Rouergue,792,1597,21460,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12077,Cornus,200,385,20230,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12078,Les Costes-Gozon,71,133,18970,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12079,Coubisou,215,469,21540,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12080,Coupiac,188,375,18710,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12082,La Couvertoirade,99,202,18850,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12083,Cransac,781,1403,18880,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12084,Creissels,731,1644,21850,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12085,Crespin,116,238,19300,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12086,La Cresse,150,332,23390,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12088,Curières,96,199,20990,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12089,Decazeville,2482,4546,19440,"37,0","23,0",s,s,"36,0",s,s,s,"11,0","40,0","46,7","41,0","3,0","2,7","47,8","6,7","9,7","2,3","5,3","2,1","-10,9",10640,31130,"2,9"
12090,Druelle Balsac,1222,3103,26070,"63,0",s,s,s,s,s,s,s,s,s,"79,5","71,7","1,9","5,9","24,2","8,2","3,2","1,6","1,1","0,5","-15,1",17150,39870,"2,3"
12091,Drulhe,194,425,21790,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12092,Durenque,223,486,19770,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12093,Le Fel,82,178,19480,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12094,Entraygues-sur-Truyère,478,883,21150,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12095,Escandolières,87,198,21310,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12096,Espalion,2204,4330,21900,"46,0","11,0",s,s,s,s,s,s,s,"20,0","56,3","46,2","2,1","8,0","37,3","16,1","4,5","1,5","2,1","0,9","-14,2",13640,36650,"2,7"
12097,Espeyrac,120,244,20700,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12098,Estaing,259,469,22060,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12099,Fayet,121,236,19050,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12100,Firmi,1108,2291,22030,"46,0","13,0",s,s,s,s,s,s,s,s,"57,2","50,9","2,1","4,2","42,9","7,7","4,8","1,6","2,3","0,9","-12,6",12730,34040,"2,7"
12101,Flagnac,459,1015,22510,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12102,Flavin,1020,2440,24530,"57,0",s,s,s,s,s,s,s,s,s,"75,6","63,6","2,2","9,8","26,4","9,6","3,3","1,5","1,2","0,6","-14,9",15080,37890,"2,5"
12103,Florentin-la-Capelle,148,303,18510,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12104,Foissac,205,450,21060,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12105,La Fouillade,507,1086,20610,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12106,Gabriac,217,530,22390,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12107,Gaillac-d'Aveyron,133,271,20600,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12108,Galgan,159,340,21390,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12109,Gissac,49,104,20850,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12110,Golinhac,170,340,20670,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12111,Goutrens,215,516,23960,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12113,Gramond,168,434,21890,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12115,L'Hospitalet-du-Larzac,140,340,18540,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12116,Huparlac,110,230,18540,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12118,Lacroix-Barrez,254,497,20330,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12119,Laguiole,574,1154,22730,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12120,Laissac-Sévérac l'Église,993,2003,21860,"44,0","13,0",s,s,s,s,s,s,s,s,"61,1","52,3","1,7","7,1","35,1","12,5","4,8","1,5","2,4","0,9","-13,5",13120,34580,"2,6"
12121,Lanuéjouls,353,722,21990,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12122,Lapanouse-de-Cernon,56,112,23340,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12124,Lassouts,144,325,17870,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12125,Laval-Roquecezière,144,302,18150,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12127,Lédergues,330,697,21080,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12128,Lescure-Jaoul,112,213,18020,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12129,Lestrade-et-Thouels,184,436,19750,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12130,Livinhac-le-Haut,509,1046,21530,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12131,La Loubière,614,1491,26690,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12133,Luc-la-Primaube,2778,5942,24070,"56,0","8,0",s,s,s,s,s,s,"5,0","16,0","68,5","61,8","1,7","5,0","31,5","11,3","3,7","1,4","1,6","0,7","-15,0",14650,37510,"2,6"
12134,Lugan,140,303,22390,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12135,Lunac,178,372,19490,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12136,Maleville,416,964,21690,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12137,Manhac,319,853,24030,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12138,Marcillac-Vallon,714,1490,23410,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
